index,text,label
0,"Parties build up poll war chests The Labour Party received more than £5m in donations in the final quarter of 2004, new figures show. This is nearly half of the £11,724,929 received by 16 political parties listed by the Electoral Commission. The Conservatives were in second place with donations totalling £4,610,849, while the Liberal Democrats received just over £1m. The majority of Labour's donations came from affiliated trade unions. There were also large sums from individuals. Lord Drayson, whose company PowderJect won multi-million pound contracts to provide smallpox vaccine to the government after the 11 September terror attacks, gave £500,000 to the party just days before Christmas. This followed an earlier donation of the same amount earlier in 2004. He was made a lord by Tony Blair last year. Other significant donations came from retired millionaire businessman and philanthropist Sir Christopher Ondaatje who gave the party a sum of £500,000, and refrigerator magnate William Haughey OBE who gave £330,000. The totals for the fourth quarter were well up on the same period of 2003, as the parties built up their war chests for the general election campaign. The largest donation to the Conservatives was a bequest from Ruth Beardmore of nearly £400,000. The joint founder of merchant bank Hambro Magan gave £325,417. There were also donations topping £250,000 for the Conservatives from Scottish Business Groups Focus on Scotland and the Institute of International Research, the world's largest independent conference company. Also among the gifts to the Tories were 24 donations totalling £161,840 from Bearwood Corporate Services. This company is controlled by the party's former treasurer Lord Ashcroft which has directed almost £300,000 to specific marginal constituencies over the past two years. The Liberal Democrats' largest donor was the Joseph Rowntree Reform Trust Ltd, a company which promotes political reform and constitutional change, which gave a sum of £250,000. And fast food giants McDonald's are listed as donating a sum of £10,575. This was a fee the firm paid for a room for an event held with the work and skills foundation during the party's conference. The UK Independence Party, which lost its main donor Paul Sykes amid the row over Robert Kilroy-Silk's bid for the leadership last autumn, took in £63,081. Just £8,170 of this was cash and the remainder came in gifts in kind, such as office space and printing. Registered political parties are required to set out each quarter all donations over £5,000 to their headquarters and over £1,000 to local constituency parties they receive. It is an offence for a person to knowingly or recklessly make a false declaration about party donations.
",politics
1,"Police chief backs drinking move A chief constable has backed the introduction of 24-drinking, saying police had a responsibility to ensure people could benefit from a law change. However, Norfolk police chief Andy Hayman also warned that a great deal of preparatory work was still needed. ""I don't subscribe to the views of some of my colleagues who are coming out and objecting to it,"" he said. His comments come after the Liberal Democrats backed Tory demands that the government's plans be put on hold. Andy Hayman said he did not agree with politicians and senior police officers who have objected to the plans, which come into force on 7 February. ""I feel that is a premature position to be taking,"" he said. Among those who have criticised the plans are the UK's top policeman Sir John Stevens. The Metropolitan police chief said last week that the plans for 24-hour drinking should be re-examined because of a binge drinking ""epidemic"". However, Mr Hayman said: ""It would be totally unacceptable in my view for a chief constable to say, 'I'm very sorry'. He said that police should make sure that responsible people who wanted a change could benefit from more liberal legislation. ""My view is that I have got a responsibility to create an environment where that can happen, "" he said. However, he believes a lot of preparatory work is still needed to be done by police, local authorities and the drinks industry before the nation was ready for 24-hour drinking. But he is confident problems in the early days can be ""ironed out"". He believed the majority of people favoured this law change and ""we have to accept that lifestyles are changing"". But aspects such as transport, and basic things such as making sure public toilets are open all night had to be taken into account. Prime Minister Tony Blair has defended the Licensing Act, saying it is wrong to deny people the relaxed hours enjoyed elsewhere in Europe because of a ""tiny minority"" of violent binge drinkers. A six-month transitional period starts on 7 February during which time venues can apply for extended licences. The Conservatives have called for 24-hour drinking to be shelved until the problems of binge drinking are solved. On Monday, the Lib Dems also called for a delay. Lib Dem Home Affairs spokesman Mark Oaten said: ""It would clearly be prudent to allow the police and local authorities more time to prepare for flexible drinking hours."" Chief constable Mr Hayman acknowledged that binge drinking did cause problems. ""If you come to Norwich on a Friday or Saturday night you will see things going on that will you make you feel ashamed. ""However, I want industry to succeed in Norwich and I want Norwich to be the recognised nightspot of East Anglia. ""There is no way I want to say we cannot manage it or police it. We can.""
",politics
2,"Beijingers fume over parking fees Choking traffic jams in Beijing are prompting officials to look at reorganising car parking charges. Car ownership has risen fast in recent years, and there are now two and a half million cars on the city's roads. The trouble is that the high status of car ownership is matched by expensive fees at indoor car parks, making motorists reluctant to use them. Instead roads are being clogged by drivers circling in search of a cheaper outdoor option. ""The price differences between indoor and outdoor lots are unreasonable,"" said Wang Yan, an official from the Beijing Municipal Commission for Development and Reform quoted in the state-run China Daily newspaper. Mr Wang, who is in charge of collecting car parking fees, said his team would be looking at adjusting parking prices to close the gap. Indoor parking bays can cost up to 250% more than outdoor ones. Sports fans who drive to matches may also find themselves the target of the commission's road rage. It wants them to use public transport, and is considering jacking up the prices of car parks near sports grounds. Mr Wang said his review team may scrap the relatively cheap hourly fee near such places and impose a higher flat rate during matches. Indoor parking may be costly, but it is not always secure. Mr Wang's team are also going to look into complaints from residents about poor service received in exchange for compulsory monthly fees of up to 400 yuan ($48; £26). The Beijing authorities decided two years ago that visiting foreign dignitaries' motorcades should not longer get motorcycle outriders as they blocked the traffic. Unclogging Beijing's increasingly impassable streets is a major concern for the Chinese authorities, who are building dozens of new roads to create a showcase modern city ahead of the 2008 Olympic Games.
",business
3,"Gamers snap up new Sony PSP Gamers have bought almost all of the first batch of Sony's new PlayStation Portable (PSP) games console, which went on sale in Japan on Sunday. Thousands of people queued for hours to get hold of one of the 200,000 PSPs which were shipped to retailers. The handheld console can play games, music and movies and goes on sale in Europe and North America next year. Despite the demand Sony said it would not increase the 500,000-strong stock of PSPs it plans to ship by year's end. Sony says it intends to ship three million of the consoles by March 2005. The company is hoping to challenge the dominance of Nintendo in the handheld market. Nintendo released its new DS console earlier this year and has already raised shipment targets for the device by 40%. The PSP is selling in Japan for 19,800 yen ($188; £98) while Nintendo's DS console sells in the US and Japan for $150 (£78). Nintendo's goal is to ship 5 million of its new Nintendo DS handheld consoles by March 2005.
",tech
4,"Nuclear strike 'key terror risk' The UK and US must realise they cannot prevent all terror attacks and should focus on making sure they are not nuclear strikes, says a top academic. Amitai Etzioni, a key influence on New Labour thinking, says the US emphasis on an ""Axis of Evil"" is misplaced. The priority should instead be on ""failing states"", including Russia and Pakistan, who cannot properly control their nuclear material, he argues. His report demands a major overhaul of world rules on nuclear technology. Professor Etzioni was a senior adviser to President Carter's White House and is the guru behind communitarian ideas which influenced the development of Blairite Third Way politics. In a report for the Foreign Policy Centre think tank, he says a nuclear terrorist attack is the main danger faced by many nations. ""Attempts to defend against it by hardening domestic targets cannot work, nor can one rely on pre-emption by taking the war to the terrorists before they attack,"" he says. That means there is an urgent need to curb terrorists' access to nuclear arms and the materials used to make them. ""We must recognise that we will be unable to stop all attacks and thus ensure terrorists will not be able to strike with weapons of mass destruction,"" Prof Etzioni continues. He suggests so-called rogue states such as Iran and North Korea are less of a problem than ""failed and failing states"", which are more likely to be a source of nuclear materials. He names Russia as the ""failing state"" of gravest concern as it has an estimated 90% of all fissile material outside America. And he is also worried about Pakistan after one of its top nuclear scientists, Abdul Qadeer Khan, admitted leaking nuclear secrets. Prof Etzioni criticises the US for overlooking those reports, suggesting it was done in return for Pakistani help in hunting Osama Bin Laden. ""This is like letting a serial killer go because he promised to catch some jay-walkers,"" he says. 
 - Upgrading security at nuclear arms stores as a temporary measure 
 - Creating a new Global Safety Authority to tackle nuclear terrorism, using the intelligence links established in the wake of 11 September - backed by the United Nations' authority 
 - Encouraging, pressuring and using ""all available means"" to persuade countries to switch their highly-enriched uranium for less dangerous less-enriched uranium 
 - When possible, taking fissile material away from failing states to safe havens where it can be blended down or converted 
 - Compelling ""failing and rogue states"", and eventually all states, to destroy their nuclear bombs.
",politics
5,"Global blogger action day called The global web blog community is being called into action to lend support to two imprisoned Iranian bloggers. The month-old Committee to Protect Bloggers' is asking those with blogs to dedicate their sites on 22 February to the ""Free Mojtaba and Arash Day"". Arash Sigarchi and Mojtaba Saminejad are both in prison in Iran. Blogs are free sites through which people publish thoughts and opinions. Iranian authorities have been clamping down on prominent sites for some time. ""I hope this day will focus people,"" Curt Hopkins, director of the Committee, told the BBC News website. The group has a list of actions which it says bloggers can take, including writing to local Iranian embassies. The Committee has deemed Tuesday ""Free Mojtaba and Arash Day"" as part of its first campaign. It is calling on the blogsphere - the name for the worldwide community of bloggers - to do what it can to help raise awareness of the plight of Mojtaba and Arash as well as other ""cyber-dissidents"". ""If you have a blog, the least you could do is put nothing on that blog except 'Free Mojtaba and Arash Day',"" said Mr Hopkins. ""That would mean you could see that phrase 7.1 million times. That alone will shine some light on the situation. ""If you don't have one, find one dedicated to that - it takes about 30 seconds."" Technorati, a blog search engine, tracks about six million blogs and says that more than 12,000 are added daily. A blog is created every 5.8 seconds, according to a US research think-tank. The Committee to Protect Bloggers was started by US blogger Curt Hopkins and counts fired flight attendant blogger Ellen Simonetti as a deputy director. She has since started the International Bloggers' Bill of Rights, a global petition to protect bloggers at work. Although not the only website committed to human rights issues by any means, it aims to be the hub or organisation, information and support for bloggers in particular and their rights to freedom of speech. The Committee, although only a month old, aims to be the focal point for blogger action on similar issues in the future, and will operate as a non-for-profit organisation. ""Blogging is in this weird no man's land. People think of it as being one thing or another depending on their point of view,"" said Mr Hopkins. ""Some think of themselves as pundits, kind of like journalists, and some like me have a private blog which is just a publishing platform. ""But they do not have a constituency and are out there in the cold."" It is not just human rights issues in countries which have a track record of restricting what is published in the media that is of concern to bloggers. The question of bloggers and what rights they have to say what they want on their sites is a thorny one and has received much press attention recently. High profile cases in which employees have been sacked for what they have said on their personal, and often anonymous blogs, have highlighted the muddy situation that the blogsphere is currently in. ""This is a big messy argument,"" explained Mr Hopkins. He added: ""It is just such a new way of doing business, there will be clamp downs."" But the way these issues get tested is through the courts which, said Mr Hopkins, ""is part of the whole messy conversation."" ""If you haven't already got bloggers in your company, you will have them tomorrow - and if you don't have a blogger policy now you had better start looking at having one. Mr Hopkins said that the blogsphere - which is doubling every five months - was powerful because it takes so little time and expertise to create a blog. ""Everyone does this - mums, radicals, conservatives,"" he said. Many companies offer easy-to-use services to create a blog and publish it in minutes to a global community. ""That is the essential difference. What I call 'templating software' gives every single person on Earth the chance to have one. ""You don't even have to have your own computer.""
",business
6,"Pandas benefit from wireless net The world's dwindling panda population is getting a helping hand from a wireless internet network. The Wolong Nature Reserve in the Sichuan Province of southwest China is home to 20% of the remaining 1,500 giant pandas in the world. A broadband and wireless network installed on the reserve has allowed staff to chronicle the pandas' daily activities. The data and images can be shared with colleagues around the world. The reserve conducts vital research on both panda breeding and bamboo ecology. Using the network, vets have been able to observe how infant pandas feed and suggest changes to improve the tiny cubs' chances of survival. ""Digital technology has transformed the way we communicate and share information inside Wolong and with the rest of the world,"" said Zhang Hemin, director of the Wolong Nature Reserve. ""Our researchers now have state-of-the-art digital technology to help foster the panda population and manage our precious surroundings."" The network has been developed by Intel, working closely with the staff at Wolong. It includes a 802.11b wireless network and a video monitoring system using five cameras to observe pandas around the clock. Before the new infrastructure arrived at the panda park, staff walked or drove to deliver floppy disks across the reserve. Infant panda health was recorded on paper notebooks and research teams in the field had little access to the data. To foster cultural links across the globe, a children's learning lab has been incorporated in the network, in collaboration with Globio (Federation for Global Biodiversity Education for Children), an international non-profit organisation. It will enable children at local primary schools to hook up with their peers in Portland, Oregon in the US. ""Digital technology brings this story to life by enabling a global dialogue to help bridge cultures around the world,"" said Globio founder Gerry Ellis.
",tech
7,"Tevez - an Argentine in Brazil Some 65 years ago Bernardo Gandulla left Boca Juniors in his native Argentina and headed for Brazil. He arrived at the Vasco da Gama club with considerable prestige - which he failed to live up to. He left an impression, but not for reasons he would have wanted. The only thing of note he did was to throw the ball back when it went out of play. Even today, 'gandula' is the term used in Brazil for ballboy. Brazilians delighted in the failure of Gandulla then, and many will delight now if history is repeated. Another Boca Juniors player is coming to Brazil. 'The new Maradona' - Carlos Tevez - is joining Corinthians for nearly $20m in a strong candidate for the strangest move of the year. Corinthians - or the London-based company who have just entered into partnership with them - appear to have paid well above the odds for Tevez. It is particularly strange as - until last week - Tevez was not even an especially big name in Brazil, where the Argentine Championship is not shown. Presumably there is some financial logic behind the move. What is harder to work out is why Tevez should be interested in heading north, rather than across the Atlantic. Argentina's brightest new star hit top form in August as he spearheaded the charge towards the Olympic gold medal. But the subsequent months have not been easy for Tevez. Boca re-signed Martin Palermo, forcing Tevez to vacate his favoured centre forward role. And off the pitch he gave the press plenty to report - Atletico Madrid gave up on him after declaring his private life to be 'disorganized.' Hounded by the press, Tevez grew tired of his life in Buenos Aires. So now he says that he is heading for Corinthians in search of 'tranquillity.' Anyone acquainted with the city of S&#227;o Paulo will relish the nonsense of this declaration. Brazil's biggest city is a sprawling, ugly, restless metropolis. Once it shared with Buenos Aires the same melancholy air of a city of Italian immigrants. But that world now lies buried under skyscrapers. The most turbulent place in this frenetic city is Sport Club Corinthians. It is the most passionately supported club in Brazil. Pel&#233; scored reams of goals against them, reasoning that unless he did something special the Corinthians fans were capable of winning the game on their own. That passion can also be turned against the team - especially nowadays, when the level of urban violence gives a hysterical edge to life in Brazil's big cities. Corinthians fans have invaded the dressing room or ambushed the team coach to attack the players. Tevez, then, can kiss tranquillity goodbye. He can also say farewell to the Copa Libertadores, South America's Champions League. Corinthians have not qualified. Indeed, he will have a long wait for a worthwhile match. Next year's Brazilian Championship only gets underway at the end of April. Until then he will have to make do with the foolish S&#227;o Paulo State Championship, an appalling waste of his talent. There will be matches in small towns on poor pitches with plenty of defenders keen to kick him all the way back to Argentina. Like so many of the top South American players, Tevez has the gift of being able to surprise - to feint right and go left, to pass when he was expected to dribble, to shoot and catch the goalkeeper unawares. But his choice of destination is the biggest surprise of all.
",sport
8,"Commodore finds new lease of life The once-famous Commodore computer brand could be resurrected after being bought by a US-based digital music distributor. New owner Yeahronimo Media Ventures has not ruled out the possibility of a new breed of Commodore computers. It also plans to develop a ""worldwide entertainment concept"" with the brand, although details are not yet known. The groundbreaking Commodore 64 computer elicits fond memories for those who owned one back in the 1980s. In the chronology of home computing, Commodore was one of the pioneers. The Commodore 64, launched in 1982, was one of the first affordable home PCs. It was followed a few years later by the Amiga. The Commodore 64 sold more than any other single computer system, even to this day. The brand languished somewhat in the 1990s. Commodore International filed for bankruptcy in 1994 and was sold to Dutch firm Tulip Computers. In the late 1980s the firm was a great rival to Atari, which produced its own range of home computers and is now a brand of video games, formerly known as Infogrames. Tulip Computers sold several products under the Commodore name, including portable USB storage devices and digital music players. It had planned to relaunch the brand, following an upsurge of nostalgia for 1980s-era games. Commodore 64 enthusiasts have written emulators for Windows PC, Apple Mac and even PDAs so that the original Commodore games can be still run. The sale of Commodore is expected to be complete in three weeks in a deal worth over £17m.
",tech
9,"Time to get tough on friendlies? For an international manager, a friendly provides an important opportunity to work with your players. The only problem is that the game itself can often be a farce. Some people have been saying it would be better to get the players together for the week, and do away with the 90 minutes at the end. I would say it's 50-50 whether you should have these games or not, and if you look at it that way you would probably say you're better not doing so. It would certainly keep club managers happy, as it would reduce the risk of players returning to domestic duty injured. But international bosses will tell you that scrapping friendlies is counterproductive because the only way for a team to get better is by playing. The more you play together, the easier it is when it comes to the crunch in games like World Cup quarter-finals against Brazil. Often in friendlies, though, a manager will play his strongest side for the first 45 minutes and then send out an entirely different one in the second half. And it's very difficult for any player to come on as substitute in a side with a few changes, let alone a whole team's worth. The debate will rage on, and I'm not sure there is a satisfactory solution. One manager who has got it right this week is Walter Smith. The new Scotland manager has decided to have a training camp instead of a friendly for his first international week since replacing Berti Vogts. It is the sort of move you would expect from Walter, who is a canny manager. The players have had such a hard time recently that he is better off getting them together in a relaxed atmosphere and trying to generate some team spirit before the next World Cup qualifiers. If he had sent them out on Wednesday and they had been badly beaten, it would have done them no good whatsoever. John Toshack has his first game in charge of Wales, and it will be important for him to get a decent result against Hungary. He will have his own ideas on individuals and how to play and will probably look more at the performance, but the public wants results. It's extremely difficult to get the balance for friendlies. If you win, people forget them, but if you lose it becomes a stat that can be used against you. England's game against Holland is a good example. It looks like a good opportunity to try out players like Middlesbrough winger Stewart Downing or Crystal Palace striker Andy Johnson. But you have got to remember Sven-Goran Eriksson's side were given a lesson by Spain in the last game they played. The injury problems in defence should at least give the likes of Wes Brown and Jamie Carragher a chance to impress. For the club managers, it will simply be a case of waiting at home with fingers crossed.
",sport
